id,name,canonicalKey,kind,domain,parentGroup,activeJobs,allJobs
"cmtlyn9aa0gg8qf5k7eadcmde","Dolce & Gabbana","DOLCE_AND_GABBANA","UNKNOWN","dolcegabbana.com","","96","97"
"cmtlygv3s02j1qf5kapuwhfcb","Dolls Kill","DOLLS_KILL","UNKNOWN","dollskill.com","","11","11"
"cmtkdw1ya1tyenf2b44uvotk1","DONATELLE GODART - PARIS","DONATELLE_GODART_PARIS","UNKNOWN","","","0","1"
"cmtm7vlqt14bnpv5jwkbal0n0","Donzé-Baume","DONZE_BAUME","UNKNOWN","swatchgroup.com","","5","5"
"cmtnac1ny2sktqq5lqrf4wp6u","D'ORSAY","D_ORSAY","UNKNOWN","dorsay.paris","","0","1"
"cmtpiyush0n2hpf5l25uk1wu9","Douglas","DOUGLAS","UNKNOWN","douglas.group","","151","151"
"cmtkdvylj1t2nnf2bns1q360w","DO YOU SPEAK FRANÇAIS ?","DO_YOU_SPEAK_FRANCAIS","UNKNOWN","","","1","1"
"cmtlynuc70j6zqf5k49qoc6wk","DRESCO","DRESCO","UNKNOWN","dresco.fr","","1","1"
"cmtkh4iq611o8mn2b6gawe3qz","Dr.Jart+","DR_JART","UNKNOWN","drjart.com","Estee Lauder","2","2"
"cmtlq3u2u1lvjpg2byhnrakn6","Dr. Martens","DR_MARTENS","UNKNOWN","drmartens.com","","153","158"
"cmtkdw2df1u3znf2b5d65u1xm","DRÔLE DE MONSIEUR","DROLE_DE_MONSIEUR","UNKNOWN","droledemonsieur.com","","0","2"
"cmtkdvwj11sfdnf2blxj7sfw4","DROPSHIRT","DROPSHIRT","UNKNOWN","","","0","0"
"cmtk1xhso01g1nv2ba8gk7kul","Dr Pierre Ricaud","DR_PIERRE_RICAUD","UNKNOWN","drpierre-ricaud.com","Groupe Rocher","45","65"
"cmtke5ftx06hglp2ba60asvet","Drunk Elephant","DRUNK_ELEPHANT","UNKNOWN","drunkelephant.com","Shiseido Group","166","166"
"cmtrsn9bm1f1zpg5m8uoimdxi","D. Swarovski Tourism","D_SWAROVSKI_TOURISM","UNKNOWN","","","4","4"
"cmtp3skzn1dr4qq4zzu4b0t1f","D. Swarovski Tourism Services GmbH","D_SWAROVSKI_TOURISM_SERVICES_GMBH","UNKNOWN","","","0","0"
"cmtrsnc3u1fw0pg5mpx5w7aen","DSW Kristall AG & Co KG","DSW_KRISTALL_AG_AND_CO_KG","UNKNOWN","","","1","1"
"cmtkdw05t1tfwnf2bbaq97jqn","DUMEBI","DUMEBI","UNKNOWN","","","1","1"
"cmtlyiv9806sjqf5kt5xeac73","Dune London","DUNE_LONDON","UNKNOWN","dunelondon.com","","28","29"
"cmtp522sk2cvyqq4zqwc70j3f","Dunhill","DUNHILL","UNKNOWN","dunhill.com","Richemont","13","13"
"cmtlyfkto00ooqf5k9jltqp95","Eastpak","EASTPAK","UNKNOWN","eastpak.com","","4","4"
"cmtlyeoud001jqf5kc85228vo","Eclipse Laboratories, blockchain","ECLIPSE_OUT_OF_SECTOR","OTHER","","","0","1"
"cmtkdvupi1rsdnf2bluk35mnh","EDEN PARK","EDEN_PARK","UNKNOWN","eden-park.fr","","0","2"
"cmtm9jhdr1uscpv5jsrlet8v2","Editions de Parfums Frédéric Malle","EDITIONS_DE_PARFUMS_FREDERIC_MALLE","UNKNOWN","fredericmalle.com","Estee Lauder","6","7"
"cmtrsgp4e0luxpg5musa89zv3","Edizioni Condé Nast","EDIZIONI_CONDE_NAST","UNKNOWN","","","6","6"
"cmtlyqjbp0msqqf5k4nabcraf","Edizioni Condé Nast S.p.A.","EDIZIONI_CONDE_NAST_S_P_A","UNKNOWN","","","0","0"
"cmtkdvvei1s28nf2b4btt1vo3","EGONLAB","EGONLAB","UNKNOWN","","","0","0"
"cmtk1y1hh02gunv2bgh8lfefv","Egon Zehnder","EGON_ZEHNDER","UNKNOWN","egonzehnder.com","","53","53"
"cmtke8pvh0cyelp2bpe0rowj9","Element","ELEMENT","UNKNOWN","","Groupe Beaumanoir","0","11"
"cmtrup3ob4n99pg5mrrljc38t","ELLE","ELLE","UNKNOWN","","","1","1"
"cmtkdw0hr1tiznf2bth7vfiky","ELLE INTERNATIONAL","ELLE_INTERNATIONAL","UNKNOWN","elleinternational.com","","0","0"
"cmtp1u8t500jkqq4z4mtaif49","El Palacio de Hierro","EL_PALACIO_DE_HIERRO","UNKNOWN","palaciohierro.com.mx","","4","4"
"cmtkdw0li1tk5nf2bai9y64y1","ELSA SCHIAPARELLI","ELSA_SCHIAPARELLI","UNKNOWN","schiaparelli.com","","1","1"
"cmtk1wu5l000bnv2by772ury1","Embryolisse","EMBRYOLISSE","UNKNOWN","embryolisse.com","","3","3"
"cmtk48i0d1dhyny2btode4nsu","Emilio Pucci","EMILIO_PUCCI","UNKNOWN","pucci.com","LVMH","8","8"
"cmtkdvvgw1s38nf2bswuqrmt3","EMILY MODELS","EMILY_MODELS","UNKNOWN","","","0","0"
"cmtpj2gur14edpf5lvktv0wyq","EM Microelectronic","EM_MICROELECTRONIC","UNKNOWN","emmicroelectronic.com","","6","6"
"cmtpivgpi063zpf5lyoc3h76b","END.","END","UNKNOWN","endclothing.com","","22","22"
"cmtp6owx92vl9qq4zwqx4vl0k","Entraîneur de l'Espagne, S.L.","ENTRAINEUR_DE_L_ESPAGNE_S_L","UNKNOWN","","","0","0"
"cmtp6owzb2vmdqq4zqm30e2fh","Entraîneur Hong Kong Limited","ENTRAINEUR_HONG_KONG_LIMITED","UNKNOWN","","","0","0"
"cmtp6ox2b2vnlqq4zbtn28ok8","Entraîneur Malaysia SDN. BHD.","ENTRAINEUR_MALAYSIA_SDN_BHD","UNKNOWN","","","0","0"
