Maison,Offres actives,Secteur,Groupe,Site officiel (à remplir)
"Brown Thomas Arnotts",68,"RETAIL","",""
"B2",67,"RETAIL","",""
"LOFT",62,"RETAIL","",""
"La Halle",63,"RETAIL","Groupe Beaumanoir",""
"NIKE India Technology Center Private",60,"RETAIL","",""
"B's",60,"RETAIL","",""
"Honey Birdette",56,"RETAIL","",""
"Soeur",55,"FASHION","",""
"LVMH Fragrance Brands",54,"BEAUTY","LVMH",""
"Michael Kors Stores California",54,"RETAIL","",""
"New Balance",52,"FASHION","",""
"Dr Pierre Ricaud",30,"BEAUTY","Groupe Rocher",""
"LVMH Perfumes & Cosmetics",50,"BEAUTY","LVMH",""
"Boucheron",49,"JEWELRY_WATCHES","Kering",""
"LTD INTERNATIONAL",9,"FASHION","",""
"MORGAN",45,"FASHION","Groupe Beaumanoir",""
"Boardriders",46,"RETAIL","",""
"Advance Magazine Publishers",46,"RETAIL","",""
"UNIQLO EUROPE LIMITED FRENCH BRANCH",45,"FASHION","",""
"Veronica Beard",45,"RETAIL","",""
"Fresh",44,"BEAUTY","LVMH",""
"ETA",44,"RETAIL","",""
"Bonobo",44,"FASHION","Groupe Beaumanoir",""
"Coach Korea",44,"RETAIL","",""
"Dim",43,"RETAIL","",""
"Orlando Bathing Suit",40,"RETAIL","",""
"Delvaux",38,"FASHION","Richemont",""
"Michael Kors (Canada)",38,"RETAIL","",""
"Sessùn",36,"FASHION","",""
"Michael Kors (UK)",37,"RETAIL","",""
"Caroll",37,"FASHION","Groupe Beaumanoir",""
"Michael Kors (USA)",37,"RETAIL","",""
"Clog",35,"RETAIL","",""
"J Choo",35,"RETAIL","",""
"NIKE de Mexico, S. de R.L. de C.V.",34,"RETAIL","",""
"Glitter",34,"RETAIL","",""
"UNIQLO",34,"FASHION","",""
"Gémo",33,"RETAIL","Groupe Eram",""
"A.Lange and Sohne",32,"JEWELRY_WATCHES","Richemont",""
"BRUNELLO CUCINELLI",32,"RETAIL","",""
"Nike Commercial (China)",31,"RETAIL","",""
"Swarovski (Deutschland)",31,"JEWELRY_WATCHES","",""
"MR MARVIS",30,"RETAIL","",""
"Singularu",30,"RETAIL","",""
"Vib's",31,"FASHION","Groupe Beaumanoir",""
"Swarovski Crystal, S.A de C.V",31,"JEWELRY_WATCHES","",""
"Versace",31,"FASHION","",""
"Orchestra",29,"RETAIL","",""
"Nike Sports (China) Co.",30,"RETAIL","",""
"SINTEL",22,"FASHION","",""
"Kapten & Son",29,"RETAIL","",""
"Pomellato",29,"JEWELRY_WATCHES","Kering",""
"Advance Magazine Publishers Inc. HQ",29,"RETAIL","",""
"UNIQLO EUROPE LIMITED GERMAN BRANCH",28,"FASHION","",""
"Nike NEON",27,"RETAIL","",""
"State of Art",27,"RETAIL","",""
"Converse",26,"RETAIL","",""
"La Mer",26,"BEAUTY","Estee Lauder",""
"Diptyque paris",26,"RETAIL","",""
"EPHEMERA",25,"RETAIL","",""
"YAYA",24,"RETAIL","",""
"Tissus des Ursules - TDU Group",24,"RETAIL","",""
"Fashion Group",24,"FASHION","LVMH",""
"Michael Kors (Germany)",24,"RETAIL","",""
"MANGO SINGAPORE GARMENTS PTE",24,"FASHION","",""
"Coach Shanghai",23,"RETAIL","",""
"NIKE Retail UK",2,"RETAIL","",""
"Corporate J. Crew Group",23,"RETAIL","",""
"Movado Group",23,"RETAIL","",""
"Kendo",21,"BEAUTY","LVMH",""
"Army Logic",21,"RETAIL","",""
"Totême",21,"RETAIL","",""
"Alexander McQueen",21,"FASHION","Kering",""
"NIKE Korea",21,"RETAIL","",""
"Lagardère Travel",20,"RETAIL","",""
"The Condé Nast Publications",20,"RETAIL","",""
"New Balance Athletic Shoes (UK)",20,"RETAIL","",""
"Balzac Paris",20,"FASHION","",""
"Brioni",19,"FASHION","Kering",""
"Gate",19,"RETAIL","",""
"Vitamin A",19,"RETAIL","",""
"UNIQLO EUROPE LIMITED SPANISH BRANCH",19,"FASHION","",""
"Blue Banana",19,"RETAIL","",""
"Horace",19,"RETAIL","",""
"VEJA",18,"FASHION","",""
"Coast",17,"RETAIL","",""
"Swarovski Global Business Services sp. z o.o.",18,"JEWELRY_WATCHES","",""
"Reb",17,"RETAIL","",""
"Sioux",17,"RETAIL","",""
"Fred",17,"JEWELRY_WATCHES","LVMH",""
